district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
611,Bibb County,307,Price Academy,03-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,383,Williams Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,386,Southwest High School,09-12 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,405,Rosa Taylor Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,505,Weaver Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,605,Heritage Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,705,Union Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1050,Alexander II Magnet School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1054,Bernd Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1067,Porter Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1105,Springdale Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1205,Carter Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1305,Lane Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1306,Martin Luther King Jr Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1307,Southfield Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1309,Veterans Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,1310,John Robert Lewis Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,2060,Hartley Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,3060,Heard Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,3067,Ingram/Pye Elementary School,PK-05 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
611,Bibb County,5050,Appling Middle School,06-08 ,8/10/2020,9/8/2020,,Virtual,Virtual,Hybrid,Hybrid,Virtual,Virtual,Hybrid,Hybrid,Hybrid,,,,2,5,,,4,4,4,7/1/2021 2:22
612,Bleckley County,105,Bleckley County High School,09-12 ,8/10/2020,8/10/2020,In-person,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,,10,10,8,7,9,9,10,10,6,7/6/2021 6:42
612,Bleckley County,112,Bleckley Middle School,06-08 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/6/2021 6:42
612,Bleckley County,115,Bleckley County Success Academy,06-12 ,8/10/2020,8/10/2020,In-person,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,,10,10,8,7,9,9,10,10,6,7/6/2021 6:42
612,Bleckley County,197,Bleckley County Elementary School,03-05 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/6/2021 6:42
612,Bleckley County,1050,Bleckley County Primary School,PK-02 ,8/10/2020,8/10/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,7/6/2021 6:42
613,Brantley County,101,Waynesville Primary School,PK-03 ,8/4/2020,8/6/2020,Hybrid,Hybrid,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,5,14,,,,,,,,,9/7/2021 9:46
613,Brantley County,110,Atkinson Elementary School,04-06 ,8/4/2020,8/6/2020,Hybrid,Hybrid,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,5,14,,,,,,,,,9/7/2021 9:46
613,Brantley County,194,Brantley County Middle School,07-08 ,8/4/2020,8/6/2020,Hybrid,Hybrid,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,5,14,,,,,,,,,9/7/2021 9:46
613,Brantley County,294,Nahunta Elementary School,04-06 ,8/4/2020,8/6/2020,Hybrid,Hybrid,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,Virtual,5,14,,,,,,,,,9/7/2021 9:46
